b7d773ac-edfd-4bef-b959-0519409f5c84;dolar australijski;AUD;;3,1022;3,0408
b7d773ac-edfd-4bef-b959-0519409f5c84;dolar kanadyjski;CAD;;3,5787;3,5079
b7d773ac-edfd-4bef-b959-0519409f5c84;frank szwajcarski;CHF;;4,9368;4,8390
b7d773ac-edfd-4bef-b959-0519409f5c84;korona czeska;CZK;;0,1968;0,1930
b7d773ac-edfd-4bef-b959-0519409f5c84;korona duńska;DKK;;0,6505;0,6377
b7d773ac-edfd-4bef-b959-0519409f5c84;euro;EUR;;4,8393;4,7435
b7d773ac-edfd-4bef-b959-0519409f5c84;funt szterling;GBP;;5,5560;5,4460
b7d773ac-edfd-4bef-b959-0519409f5c84;forint (Węgry);HUF;;0,011749;0,011517
b7d773ac-edfd-4bef-b959-0519409f5c84;jen (Japonia);JPY;;0,032945;0,032293
b7d773ac-edfd-4bef-b959-0519409f5c84;korona norweska;NOK;;0,4663;0,4571
b7d773ac-edfd-4bef-b959-0519409f5c84;korona szwedzka;SEK;;0,4434;0,4346
b7d773ac-edfd-4bef-b959-0519409f5c84;dolar amerykański;USD;;4,9115;4,8143
b7d773ac-edfd-4bef-b959-0519409f5c84;SDR (MFW);XDR;;6,3433;6,2177
